Term Count p-value
"inflammatory response" 23 3.1e-18
"cellular response to interleukin-1" 13 1.8e-14
"cellular response to lipopolysaccharide" 17 2e-14
"cell chemotaxis" 11 9.4e-12
"cellular response to tumor necrosis factor" 12 1.1e-11
"chemokine-mediated signaling pathway" 10 1.2e-11
"response to lipopolysaccharide" 14 4.8e-11
"immune response" 15 9.1e-10
"cellular response to interferon-gamma" 9 2e-09
"neutrophil chemotaxis" 9 3.2e-09
"positive regulation of ERK1 and ERK2 cascade" 12 4e-09
chemotaxis 10 9.4e-09
"lipopolysaccharide-mediated signaling pathway" 7 1.3e-08
"positive regulation of inflammatory response" 8 4.1e-08
"cellular response to lipoteichoic acid" 5 8e-08
"response to molecule of bacterial origin" 5 4.5e-07
"lymphocyte chemotaxis" 6 9.2e-07
"positive regulation of GTPase activity" 9 1e-06
"immune system process" 12 4e-06
aging 9 4.7e-06
"innate immune response" 12 6.6e-06
"positive regulation of neutrophil chemotaxis" 5 1.2e-05
"positive regulation of tumor necrosis factor production" 6 1.3e-05
"wound healing" 7 1.3e-05
"response to drug" 11 1.9e-05
"superoxide anion generation" 4 2.1e-05
"response to gamma radiation" 5 3.8e-05
"monocyte chemotaxis" 5 6.3e-05
"iron ion homeostasis" 5 6.3e-05
"positive regulation of macrophage chemotaxis" 4 7e-05
"response to hypoxia" 8 8.1e-05
"superoxide metabolic process" 4 0.00012
"positive regulation of chemokine production" 4 0.00014
"positive regulation of interleukin-6 production" 5 0.00015
"regulation of cell proliferation" 8 0.00017
"positive regulation of leukocyte migration" 4 0.00021
"positive regulation of NF-kappaB transcription factor activity" 6 0.00029
"defense response to protozoan" 4 0.00053
"cellular response to organic cyclic compound" 5 0.00063
"respiratory burst" 3 0.00071
"positive regulation of smooth muscle cell proliferation" 5 0.00076
"hydrogen peroxide biosynthetic process" 3 0.00092
"protein kinase B signaling" 4 0.001
"acute-phase response" 4 0.001
"positive regulation of gene expression" 9 0.0011
"eosinophil chemotaxis" 3 0.0011
"adhesion of symbiont to host" 3 0.0011
"toll-like receptor 4 signaling pathway" 3 0.0014
"negative regulation of tumor necrosis factor production" 4 0.0014
