Term Count p-value
"extracellular space" 35 1.5e-14
"extracellular region" 31 6.4e-10
"cell surface" 13 6.5e-05
"extracellular exosome" 27 0.00047
membrane 51 0.00083
"NADPH oxidase complex" 3 0.00084
"external side of plasma membrane" 8 0.0011
"plasma membrane" 37 0.0045
"anchored component of membrane" 5 0.0052
"integral component of plasma membrane" 13 0.0091
"extracellular matrix" 6 0.015
"extrinsic component of endoplasmic reticulum membrane" 2 0.024
"Golgi apparatus" 12 0.032
"symbiont-containing vacuole membrane" 2 0.043
"rough endoplasmic reticulum" 3 0.045
"neuronal cell body" 7 0.048
"perinuclear region of cytoplasm" 8 0.055
"proteinaceous extracellular matrix" 5 0.069
varicosity 2 0.076
"basal part of cell" 2 0.08
"high-density lipoprotein particle" 2 0.098
